"Município";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"Total"
"412070 Quatiguá";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;233,85;369,29;21847,87;29334,98;26730,26;26713,91;31691,63;29826,26;26779,23;25955,35;40372,98;20917,35;23932,07;19523,97;22137,40;21162,78;21635,09;18053,26;24852,42;18087,84;15552,99;20810,52;10912,69;14503,92;17384,00;19165,04;16443,04;16490,14;22543,09;19542,57;17549,55;17564,56;15540,77;18619,03;13047,17;17405,77;18818,88;8726,42;14887,48;11400,48;23320,89;13580,95;15614,02;15465,90;17410,36;13628,83;20105,21;18918,99;20406,36;9835,03;12595,20;9194,97;9936,12;7645,09;16638,03;16269,69;10342,07;19956,09;13129,53;18623,38;10141,72;8287,73;14904,52;9497,33;12632,33;11416,88;13159,08;11869,89;12656,75;10391,51;8390,55;14045,96;8541,51;7550,87;8422,57;10102,49;20697,46;8742,39;11827,29;9348,42;5233,54;7967,63;10932,44;10815,39;7215,79;6660,63;5888,68;9963,23;8832,39;11029,67;11407,55;10711,34;8323,50;10431,38;14799,76;14255,32;13972,33;-;-;-;-;-;-;-;-;-;8943,30;11947,26;16961,41;17817,10;22042,32;26468,00;18451,19;22228,26;24925,91;12826,50;15044,17;15657,41;6635,01;10980,94;2612,46;3865,33;-;-;-;-;-;-;1708157,00
"412085 Quatro Pontes";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;804,09;6609,30;3382,18;5776,90;7596,68;4779,46;5343,71;3505,16;4249,96;5759,05;3695,12;5641,22;7321,09;4940,76;8313,67;4126,14;5135,93;1691,22;2171,84;3368,71;2831,10;3637,13;4612,29;3369,53;2588,03;3094,15;1966,76;3695,78;2709,68;2911,07;4946,85;2457,87;4851,45;3176,12;2069,99;3367,14;4260,35;2407,35;1653,66;3894,11;3147,36;4032,03;2788,00;2914,44;479,19;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;172073,62
"412090 Quedas do Iguaçu";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;708,86;8595,36;53616,45;81400,78;67247,74;94665,27;72845,88;74611,12;83874,41;86392,29;88844,37;93526,51;90566,20;82882,45;70587,40;86051,49;77080,05;83022,20;75944,41;75658,36;53104,50;61952,68;74774,61;63553,04;68778,28;42604,23;46944,74;50263,57;48528,47;49731,92;49068,42;63129,88;70710,72;90880,45;124890,67;87512,99;89650,26;75012,42;48738,59;54066,27;51466,71;61263,59;79488,75;68943,67;94212,85;94342,75;76092,60;64407,01;75327,29;64612,97;48609,25;52312,60;48450,95;60362,22;56258,87;47616,69;60773,48;65097,67;68014,67;64834,82;65116,13;67346,32;43025,37;36542,66;58564,97;82713,47;65075,99;65667,99;75107,66;72467,34;58449,97;71797,84;61933,54;61678,93;37802,62;47000,20;53388,54;68425,53;67962,90;67537,03;94350,84;104686,52;54501,25;66081,53;70624,66;51504,86;44520,70;62760,77;61538,21;80180,63;78483,21;66418,30;72633,78;65021,41;55434,81;52636,09;45789,98;50627,58;57164,39;55283,74;44276,78;56165,19;65517,94;67431,36;69502,21;69495,06;43896,09;59326,43;48894,68;58182,92;54559,57;51258,90;42714,03;58565,45;51378,67;47867,29;63898,71;59018,83;62373,22;59504,08;58935,37;65269,30;46825,16;61038,41;62659,68;67075,59;44086,90;45504,98;28546,34;8196125,12
"412100 Querência do Norte";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;503,19;1261,19;968,82;17398,20;9104,36;15853,80;19625,94;14447,61;15476,89;14196,41;13174,16;17518,31;16275,82;17217,32;16177,19;17758,15;17733,25;17077,01;26940,56;23606,40;20409,01;21286,01;23853,65;26238,40;18797,68;19056,13;20361,31;19647,77;25003,73;24128,44;19519,71;27732,01;20798,53;30787,93;29505,54;14858,07;20087,62;12944,09;12918,42;21041,85;21043,37;13970,07;24379,83;24056,31;22196,80;31017,29;22070,40;18730,82;18402,46;19728,65;20726,91;20113,56;16790,61;18716,89;26415,36;25503,90;27777,44;13753,68;19680,05;23343,62;17619,62;18148,14;17903,86;20588,69;18654,80;22631,32;26081,21;27713,91;17604,47;19186,23;19505,35;17484,66;19627,05;13574,48;22147,45;16595,01;17687,28;29639,81;25689,17;16661,19;16247,78;15310,05;15051,04;18681,22;13756,13;18121,40;15041,91;12677,16;14406,97;29247,03;22727,72;14564,13;12494,67;19175,32;24497,54;19844,36;16971,80;15963,70;12738,21;14993,50;16044,05;18281,84;17830,78;20988,38;18050,12;16895,64;25094,05;19558,26;15244,00;17332,19;17198,37;11894,02;9357,88;15541,76;17236,20;11516,75;-;67,31;20498,16;15317,02;12238,01;9702,15;15450,75;14145,25;20137,64;18441,83;10171,34;16091,83;10700,28;2327989,70
"412120 Quitandinha";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;699,46;3453,79;11028,89;18210,50;24938,01;25584,32;25176,27;29330,02;29887,53;32279,06;37707,29;24818,12;22802,86;32810,13;33133,97;24998,44;28721,60;29507,31;24266,00;26453,38;28756,08;32089,38;28431,29;28268,52;33569,01;24371,95;20679,54;29042,66;36794,42;32018,96;29422,60;41091,44;34938,96;31739,56;32298,64;30782,09;24303,17;20285,68;21455,27;27192,37;26941,17;29274,17;24386,32;34051,86;34890,08;33778,55;28688,50;27635,25;31132,43;23186,03;28078,47;32194,59;26605,15;31060,69;23189,46;27115,90;35457,27;28771,85;30206,09;32632,21;31684,20;35107,66;25302,68;31642,60;23367,22;34228,60;24429,22;28251,05;33535,14;36386,48;32119,03;30900,75;24795,84;30465,35;27791,36;35697,34;30754,98;34108,86;23906,09;34527,36;34075,25;32684,36;34767,71;33521,42;35915,41;28659,77;34678,57;27201,32;28135,55;29489,05;32312,67;31976,34;30916,41;34135,86;36058,71;29873,22;31378,78;30537,57;25518,46;26417,21;23500,41;27029,95;30553,47;27530,14;28256,80;32312,38;31325,42;26062,92;29057,99;30498,98;28907,46;35145,17;21520,60;25963,47;30507,79;32737,03;30150,27;27597,85;29625,56;33738,95;29703,96;27695,83;27705,41;26245,44;30192,54;30464,41;28855,27;21511,18;21831,62;3726098,30
"412130 Rancho Alegre";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2852,91;2588,89;3435,27;3126,65;1123,74;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;324,90;2169,97;1750,91;1936,92;1591,02;1614,09;1126,00;204,50;1471,55;1132,89;381,57;2128,83;2485,28;1160,36;786,92;972,98;642,64;801,10;1369,70;2122,61;1309,96;1918,99;2248,94;1573,84;2663,44;1177,48;360,80;582,42;529,40;772,09;1648,26;1110,37;1667,65;3434,92;579,48;1164,84;1578,25;218,68;218,68;943,22;978,12;958,38;1238,46;-;-;852,80;-;1164,84;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;70196,51
"412140 Realeza";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5525,03;23302,86;34684,39;40725,69;49530,07;31874,37;35466,23;27806,50;38827,01;35712,45;44942,58;24393,14;38189,81;34037,76;43986,16;33865,67;33974,79;30652,66;34391,50;38807,96;16311,88;23781,36;27946,95;27273,56;24916,39;29197,88;26888,23;28468,12;25728,75;38755,05;22702,91;32717,27;31300,66;59133,14;28395,04;29466,59;25193,64;32053,31;23958,83;27671,90;21632,83;26605,13;30231,43;29760,11;31811,22;31947,86;28909,63;32174,24;42741,04;32294,46;29520,18;28781,77;24689,89;24925,48;27764,90;32508,69;26953,28;32141,96;38967,85;25110,86;22474,79;22539,84;20135,87;14542,25;20137,17;25777,60;24358,16;24398,47;27945,50;23379,45;30242,21;33626,61;25105,97;22459,54;26627,38;26590,99;23278,01;30201,31;35085,98;50135,85;43571,68;36720,22;43058,25;30427,77;36178,68;34284,00;24906,76;7567,53;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2647788,74
"412150 Rebouças";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;536,96;8859,65;39641,94;41739,79;41326,69;49944,17;35475,43;46899,36;40084,71;43404,93;46390,55;44868,43;51153,31;40606,82;45624,50;48328,84;44287,36;32830,69;34949,32;31880,72;23745,08;16011,45;16679,99;17184,50;19471,21;20660,10;26691,19;24672,92;29120,00;27345,85;23101,98;28779,89;17872,95;31994,11;22125,25;20664,46;19209,36;16975,69;19154,53;21721,26;21198,38;30492,53;20036,04;32787,92;46747,62;22488,97;25958,04;25891,13;12899,42;18824,47;25792,16;36974,59;20225,42;30318,87;34807,15;25034,94;18857,93;19221,10;23963,29;16159,07;17093,57;15082,61;18156,24;3843,26;18381,68;16366,94;8881,56;24790,01;24059,64;28950,72;21989,84;14091,16;26446,17;10789,03;23820,89;22045,54;21860,71;23464,32;30051,80;24041,30;29917,41;29476,12;25163,32;19410,82;34429,87;44721,44;35427,00;32066,27;44576,55;30925,22;49536,00;54119,82;51516,87;48756,92;47575,46;56363,37;42756,05;34036,50;46774,36;48620,71;49428,98;55661,98;59460,07;50026,70;54375,28;56326,99;45737,88;64033,49;48954,46;59431,61;53405,77;46241,06;49390,65;46954,46;47317,13;50514,98;50058,11;49149,36;53023,98;52782,09;51150,59;46846,32;53423,12;53526,02;49505,33;43673,58;35616,99;31963,88;4329052,91
"412170 Reserva";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3846,59;56853,18;55215,88;61994,66;54279,41;63090,71;56987,01;52515,38;56426,75;53305,76;54893,13;58668,91;60429,98;54983,45;50156,42;57381,88;50793,96;50946,02;47379,32;49474,90;56614,21;38770,96;55277,14;53503,99;41074,28;47891,35;53786,02;53637,74;38158,58;52829,64;49308,51;52175,51;48300,10;54757,65;47458,24;39438,51;54004,52;42394,18;40959,24;51789,20;47502,49;48492,86;52754,93;52999,81;54113,89;36376,85;52463,00;54006,12;53317,62;48009,07;42237,77;48364,62;45619,31;52136,12;51660,25;48075,07;49779,80;45030,87;53046,13;44353,50;57050,42;49835,04;40217,78;53970,76;49986,85;52090,62;48397,62;53716,26;46416,41;52564,35;48902,34;41402,35;49029,70;53558,97;41577,40;56046,33;47265,89;82601,73;4434,00;51987,30;55211,15;54440,81;56374,22;46069,55;48033,24;47641,51;39014,18;63769,01;47203,14;63356,75;52387,49;55061,77;60499,55;54277,79;49951,76;64796,44;62580,12;48497,96;50512,29;59536,24;71831,30;52574,39;37256,37;59856,90;54471,11;49470,45;56412,65;57934,10;58586,56;50003,21;52969,45;60995,70;61042,29;66707,69;31309,49;-;-;-;-;-;-;-;-;-;-;-;-;5883781,70
"412180 Ribeirão Claro";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;446,78;22049,43;17891,41;22743,29;20643,51;27838,56;18103,49;14018,43;19218,81;19871,40;21196,36;20834,20;19180,61;24323,94;23803,24;25074,96;23281,59;16767,08;17483,22;23080,11;23864,01;18290,02;21399,81;24131,77;16138,18;14944,05;18392,49;21338,81;20042,84;25581,56;21616,95;23035,53;29539,78;17854,96;19836,00;25230,55;20350,34;17179,04;16131,14;25950,28;18548,22;24523,54;25986,07;19369,67;18295,34;19580,37;24299,23;22325,25;18143,75;29963,29;20786,50;23420,90;22025,26;22045,94;25068,32;26560,93;22858,88;24696,11;21262,04;25269,44;16478,09;22811,14;22962,76;20916,15;20416,72;28243,26;18331,51;28262,64;17041,98;17070,00;14733,70;19982,59;14895,81;16413,72;14728,81;18748,56;25917,00;22864,06;16194,91;27089,88;20662,25;17504,53;14899,97;20838,17;19389,74;21780,42;22409,76;24058,59;15259,05;13045,00;24153,14;24765,58;16315,34;16375,45;20052,03;23501,90;20172,67;27651,99;14326,54;21986,79;24832,52;20307,87;19621,20;33468,94;22664,43;20037,74;24776,83;16803,92;13512,22;18324,66;12302,95;11664,15;16215,47;25597,12;24571,77;20020,05;18329,56;15992,66;21861,39;19602,18;21464,10;24640,00;22732,39;20704,52;10059,92;14988,33;9137,40;2601214,07
"412190 Ribeirão do Pinhal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;718,49;6850,27;23793,43;35436,19;25022,94;43029,87;34534,40;31377,07;32512,54;23784,64;31296,27;29420,20;37565,60;35061,13;37032,06;40503,70;30955,86;35677,54;24678,00;34129,00;33929,21;33770,47;38805,86;29864,93;34911,41;37085,93;23840,75;32390,24;30188,78;34649,62;38480,47;33858,71;32139,48;45301,00;37257,09;36645,23;36378,21;31372,81;32381,81;36270,16;31178,27;43964,14;37494,26;39803,02;33346,86;41006,81;34295,25;33327,74;38874,08;40779,60;36716,50;39385,76;39269,23;52082,61;44634,56;46261,21;41041,66;44866,93;36694,51;37637,21;36701,78;33294,34;37323,07;36925,80;44073,96;41493,43;44616,73;43198,17;48482,44;49429,42;42292,62;55308,02;46515,94;40023,48;45487,94;53300,17;47578,37;46940,16;59205,38;59376,94;48384,96;46870,39;51701,28;52270,31;48997,96;49255,07;43222,97;41787,53;39040,80;50622,16;48703,31;59274,79;43371,19;55936,77;42280,28;46616,62;37623,42;50705,07;48928,60;54581,24;40249,95;49675,57;49456,20;42852,91;58253,50;45438,42;44628,74;40971,41;42066,32;36790,42;38725,93;41852,52;35850,10;54374,55;57687,36;59567,16;59355,19;48548,32;55679,50;52343,63;48740,46;49421,85;39850,60;39063,64;60432,13;47784,88;36274,50;26820,38;7489,56;5257550,16
"412200 Rio Azul";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2565,09;21285,02;28905,07;29486,33;29452,86;35431,55;33587,11;42208,14;32654,00;33846,75;37964,07;35806,38;43651,22;36346,10;25875,13;26583,22;26586,97;31914,71;25606,43;25684,34;25977,98;36987,41;34454,73;30526,68;27405,78;28954,00;23616,99;27029,63;26661,11;37740,95;35355,86;33367,79;31223,97;26634,34;32249,03;24058,95;29559,59;26153,19;21210,87;28838,29;19698,14;20299,83;24387,22;24418,33;31831,30;27374,65;26294,28;27929,70;30839,52;25015,90;27151,92;32483,13;25259,57;29203,17;22819,16;25594,57;22433,42;35070,02;28959,09;56756,77;52937,05;37707,98;37291,80;20685,69;21008,62;36776,35;40575,64;45313,04;40462,07;27538,75;37390,15;23062,44;23327,66;24757,80;22801,06;25119,62;17926,91;25612,31;21964,20;24117,69;27022,96;29145,41;32260,44;22391,76;27465,36;22554,68;21510,43;24969,60;23612,14;30913,81;24268,02;33936,83;38286,18;27058,39;27234,30;31878,09;27329,58;32360,76;25505,39;25231,62;31585,67;30760,76;27955,09;31050,92;33356,16;37418,38;29982,15;32373,31;33453,28;35003,82;25114,31;30901,52;31555,13;33624,14;42012,40;30978,79;40712,87;38832,03;24639,31;27183,77;31295,42;25360,16;23951,40;25235,35;34190,42;19079,91;23966,49;21456,76;21833,88;3793443,50
"412220 Rio Branco do Sul";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;109,24;109,24;13303,86;28263,49;13224,18;34338,18;61808,32;57499,16;39857,48;45510,10;51767,65;57411,17;30014,44;37453,52;30859,29;22201,95;25368,72;26183,17;24172,48;30756,31;30662,94;30835,33;36072,25;31279,06;39915,31;33709,40;32297,81;28784,34;27749,04;37364,25;34134,11;37282,77;39301,08;41192,51;36355,56;49207,49;51954,44;28501,60;24458,22;28580,41;23238,66;33468,46;37319,31;48749,32;57785,62;47814,25;38561,98;35412,70;36248,42;31679,77;12165,06;30952,61;33934,97;29563,79;36135,06;39109,45;44582,35;42560,01;39471,18;44613,83;41739,43;30877,90;31029,91;26118,14;27636,03;32010,90;25074,66;32975,02;31982,74;41648,02;39277,68;37634,24;34383,17;36386,10;40370,37;40997,00;35936,69;27344,18;40387,69;50415,31;60143,04;44235,99;26811,82;38888,56;35973,67;13077,39;18543,60;19642,35;27439,13;26857,19;35887,03;43240,78;50436,32;43010,93;35301,07;42104,07;42098,42;48260,29;26249,45;30690,83;36052,18;44986,85;38244,91;54711,88;35001,47;32457,56;20750,85;22261,55;24685,82;27717,99;25267,05;22154,64;19067,66;21421,95;22291,23;24837,18;41325,34;34943,57;28276,86;29702,33;22203,21;24183,98;16378,92;20392,14;20760,12;7479,94;6900,13;3067,19;5194,04;4219052,32
"412230 Rio Negro";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3632,55;4566,95;21126,36;34633,99;37179,99;41400,02;44429,11;37109,10;43920,45;48911,53;38151,75;37401,97;39559,82;48262,55;46544,91;42179,87;34654,69;32217,48;46939,54;43926,32;44723,79;36651,43;46129,95;47335,65;40476,70;49453,43;48888,85;48479,28;45046,88;37311,20;47761,05;51737,69;39364,61;46563,39;32283,97;30393,74;51043,63;43180,94;32243,14;32915,58;31679,45;21103,69;12055,66;24786,94;21926,42;20137,56;24114,86;16774,26;18290,27;23761,10;18886,41;24783,83;15611,39;16850,76;23539,61;27292,45;24942,87;34124,44;49406,98;40900,70;32291,40;26319,68;44517,12;31450,81;30533,62;37235,01;39225,09;40637,71;40018,63;52053,33;51633,86;56310,76;54241,50;48118,61;45259,14;36656,10;38065,16;55584,95;46601,18;52487,09;63327,78;47085,98;49665,83;46931,14;58946,30;45091,97;31840,58;47693,31;32941,84;51904,18;42151,81;53838,04;56637,05;47885,88;40195,39;40459,73;38955,39;45289,58;36077,53;38897,02;47359,37;54903,00;39437,59;41477,83;42740,25;58104,52;41331,96;37972,03;40845,34;39204,53;31216,85;41093,15;33158,33;34755,44;38235,45;43099,44;43758,02;56598,40;40851,90;35706,89;43889,39;39314,39;40186,76;46556,05;46870,07;23476,06;16788,63;30001,25;27726,78;5001420,25
"412240 Rolândia";-;-;-;-;-;-;-;-;-;-;-;-;546,71;1143,13;-;-;-;-;-;-;1043,72;4805,55;29172,37;195863,84;314282,63;306829,23;401100,80;349035,54;330408,17;375751,79;369472,70;350755,72;362039,90;326355,84;317206,46;337209,95;313258,00;274798,70;328725,87;356196,27;329713,83;332038,22;340807,16;388818,82;374918,23;369737,82;375758,34;318225,85;347166,66;354980,85;325943,33;364643,49;433635,57;403935,82;491344,95;503069,22;436937,73;529199,66;392657,35;429216,29;434147,07;391008,85;552440,13;413670,06;448619,65;468923,32;456758,35;398770,79;410951,31;392521,81;399657,55;300465,02;362632,28;444881,31;283960,45;357507,71;408356,40;387085,92;436562,92;503201,44;383796,25;500914,90;345100,11;243890,34;338865,13;244909,97;461406,26;373623,48;369729,87;363205,59;400153,28;363599,98;352185,08;479181,96;332068,62;266983,12;348158,59;325829,87;395043,63;359228,58;331088,70;348025,27;351979,64;359963,08;342368,61;354538,20;285957,78;371380,34;332687,35;303695,37;416713,06;338668,45;373647,33;378401,97;401897,47;371352,95;373565,77;407146,97;400780,55;324525,71;347057,81;452540,98;510485,18;526860,50;582146,38;508843,56;651326,12;591577,04;486346,50;505979,33;496539,10;549414,61;568627,13;459385,07;549405,59;451460,61;608694,70;480343,87;620549,17;568060,29;526928,38;619759,51;475212,77;458280,00;564943,16;513965,30;413545,81;532116,44;390830,96;203455,83;51371815,30
"412250 Roncador";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6739,59;32312,88;32470,39;34359,34;36001,76;39318,74;42673,45;30874,60;31710,83;37051,77;34355,12;34235,16;30493,34;5408,01;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6918,87;6483,54;12242,78;18305,45;15770,91;23082,62;25324,93;28096,48;29577,50;28794,15;27679,28;22569,87;14745,93;18449,16;13360,54;19664,86;20572,53;23251,19;30620,17;33308,45;26132,41;24069,72;24017,80;17916,90;22848,34;36345,11;24603,03;28174,33;28474,12;27099,36;24703,30;26437,96;32382,15;23631,05;25894,62;30687,92;33486,64;35965,16;35537,99;34421,58;33325,93;28439,52;21501,34;23354,28;32635,69;31144,47;31623,08;34681,35;46446,76;39834,84;36862,05;40943,28;39242,38;40580,64;32343,48;43815,29;34881,16;39902,14;37686,41;36240,73;34700,17;41663,39;34016,26;20445,60;18903,94;25764,63;20934,14;30635,10;19002,63;18871,84;22610,23;28955,09;23752,94;20740,73;20091,80;22216,89;20715,77;2539159,65
"412260 Rondon";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1920,72;6256,70;16681,12;25046,28;32619,46;34337,89;31967,53;36749,98;24755,59;30546,32;30283,87;26795,86;29581,68;26955,75;33525,34;29409,61;29807,04;25132,78;20407,52;22360,62;22090,32;23606,95;20653,95;20147,67;22915,83;22808,71;15528,56;19471,39;12779,18;24809,21;22610,99;25110,43;29157,44;33314,57;20968,58;8612,79;21375,60;25836,79;15558,36;20821,78;21615,67;33947,06;34164,89;38070,99;16909,60;21313,42;27765,56;17803,93;14453,24;17667,72;9229,56;19293,80;11375,35;23069,55;18191,39;24291,49;17540,03;24399,74;20006,45;22441,72;26600,90;29011,99;20560,30;27589,46;23361,39;24542,67;17919,79;25271,71;31836,34;30537,67;26372,29;15714,82;23102,78;22214,66;29951,54;31711,16;17728,39;20988,89;25277,69;14478,36;24329,08;23246,44;16592,77;19265,79;13103,39;24025,34;18141,36;11867,15;15264,05;18415,07;20621,23;24451,69;18515,88;22293,18;21719,81;21345,83;22793,69;22381,62;11708,41;18155,58;16724,63;20406,04;17977,41;20231,72;20546,92;22653,44;19145,32;17317,52;15534,85;15226,50;21371,47;13852,41;16400,55;22238,10;19784,82;18011,73;25399,83;16378,84;22691,89;16004,89;18044,94;23623,90;10856,70;16992,88;15743,63;17252,14;13321,48;12549,86;7659,04;2763825,53
"412265 Rosário do Ivaí";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9578,84;24338,72;22780,49;24144,11;24977,97;30901,87;22014,96;24183,37;22288,94;26326,78;32636,47;31516,79;23461,62;31001,84;24226,27;25111,13;19456,39;25082,59;10038,12;21307,27;24459,19;24406,71;20183,45;34108,60;27580,20;40119,12;19823,09;34818,57;23190,72;39409,52;30524,76;41284,95;34854,82;33540,88;39714,20;26028,79;20731,68;26886,62;22975,76;20868,61;35699,31;32594,87;27038,83;29089,08;21685,30;22897,13;21607,62;27795,33;13322,57;31261,07;24467,27;30011,44;24832,25;23761,49;39698,08;32238,91;34462,93;35949,58;28867,16;39829,36;20929,97;27040,90;18003,16;29095,20;22458,57;30507,61;28214,58;26192,72;17811,40;47284,49;31223,61;32532,77;39445,61;38273,56;35581,28;43604,69;40951,74;40880,56;27801,17;42014,61;30006,90;30593,78;23471,15;18581,46;23448,25;24865,49;24131,07;21472,46;26057,67;34307,29;17428,67;16420,55;27092,06;32450,30;16209,56;35701,15;25173,38;22811,69;19750,49;22502,26;27200,40;26164,34;25076,28;22720,53;24888,43;21504,97;21355,84;23316,95;22546,38;26868,32;19725,78;25745,93;23486,06;25809,48;22155,59;28994,95;23267,43;24278,84;20411,89;27054,85;25886,39;24286,94;22256,71;16521,92;26583,35;25327,68;16638,91;3410393,33
"412290 Salto do Itararé";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;324,90;219,65;883,08;446,78;324,90;3637,86;2086,31;6039,77;6237,81;4308,16;2603,89;3644,83;896,69;1492,41;4994,95;1109,63;4689,68;3846,32;4384,15;4517,37;-;2324,89;3598,08;1406,43;3824,45;3647,39;582,42;1264,76;2163,68;1644,08;649,80;3220,58;7257,21;4611,52;1774,04;6027,99;1376,54;1804,36;3587,73;2698,50;3859,21;3966,36;699,46;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1332,30;2724,85;1897,57;2694,14;2563,89;2745,97;4040,43;5495,09;4233,20;3117,19;1306,97;2129,79;1391,23;1936,65;3172,29;885,52;4214,84;1992,09;1947,13;958,38;2460,53;620,54;1671,31;-;422,83;1268,12;1887,00;1256,94;582,42;958,38;893,56;2780,30;1561,92;2858,59;1515,77;2585,90;799,74;1164,84;358,94;2433,01;1178,65;1144,44;1277,55;1508,39;1687,00;2803,31;592,02;925,97;1858,01;712,74;2625,16;2617,82;4127,70;1540,17;1282,14;1030,27;1073,42;1342,98;2796,24;893,56;381,38;44,22;-;991,42;44,22;232017,56
